type,rows,mean_fps,max_fps,mean_culled_percent,max_culled_percent,mean_ssim,mean_flip,quality_preserving_rows,mean_speedup_vs_baseline,max_speedup_vs_baseline
BASELINE,4,277.82166666666666,373.7633333333333,0.0,0.0,1.0,0.0,4,1.0,1.0
SG,108,346.857962962963,610.65,39.37361111111112,67.57,0.9967222222222222,0.005503703703703704,76,1.240203899555893,1.6790065539841326
SV,108,321.9328703703704,559.0,33.895833333333336,63.99,0.9984259259259259,0.0039499999999999995,85,1.1502848388147877,1.5198896171093481
