dataset,type,threshold,config_label,avg_fps,culled_gaussians_percent,SSIM,FLIP,quality_preserving,utility_score,baseline_avg_fps,fps_speedup_vs_baseline,fps_percent_change_vs_baseline
drums,SG,0.3,lobes=4,305.38,39.72,1.0,0.0027,True,2.268181818181818,241.58333333333331,1.2640772680234564,26.407726802345643
drums,SV,0.5,sites=8,295.09,40.19,1.0,0.003,True,2.168181818181818,241.58333333333331,1.2214832700931355,22.14832700931355
lego,SG,0.3,lobes=4,278.26,34.25,1.0,0.0019,True,2.0545454545454547,234.9666666666667,1.1842530855440485,18.42530855440485
lego,SV,0.5,sites=8,273.88,34.77,1.0,0.0022,True,1.956818181818182,234.9666666666667,1.1656121435664633,16.561214356646325
mic,SG,0.7,lobes=6,532.23,50.87,1.0,0.0026,True,2.911363636363636,373.7633333333333,1.4239759562646594,42.39759562646594
mic,SV,0.6,sites=10,482.41,42.53,1.0,0.0017,True,2.797727272727273,373.7633333333333,1.2906830525555388,29.068305255553884
ship,SG,0.3,lobes=4,273.44,13.38,1.0,0.0008,True,1.9704545454545455,260.97333333333336,1.0477698870893577,4.77698870893577
ship,SV,0.3,sites=8,265.45,11.21,1.0,0.0006,True,1.9,260.97333333333336,1.0171537321820874,1.7153732182087378
