dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
drums,SG,sg_l6_t0_01.npz,0.1,6.0,,278.41,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,104229.7,30.94,1.0,0.0014,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.2,6.0,,292.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,123954.77,36.79,1.0,0.002,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.3,6.0,,299.89,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,138274.74,41.04,1.0,0.0027,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.4,6.0,,310.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,150763.27,44.75,0.999,0.0035,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.5,6.0,,318.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,162532.3,48.24,0.998,0.0046,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.6,6.0,,329.85,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,174310.83,51.74,0.997,0.0062,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.7,6.0,,342.39,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,187065.7,55.52,0.995,0.0088,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.8,6.0,,347.57,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,202318.9,60.05,0.99,0.0137,241.58333333333334
drums,SG,sg_l6_t0_01.npz,0.9,6.0,,379.18,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SG\threshold_0_01\lobes_6\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,224219.58,66.55,0.977,0.0252,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.1,,10.0,253.96,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,87606.23,26.0,1.0,0.001,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.2,,10.0,265.01,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,103961.02,30.86,1.0,0.0015,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.3,,10.0,275.8,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,115912.13,34.4,1.0,0.0019,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.4,,10.0,283.66,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,126691.96,37.6,1.0,0.0023,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.5,,10.0,286.99,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,137709.51,40.87,1.0,0.003,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.6,,10.0,300.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,150033.25,44.53,0.999,0.004,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.7,,10.0,304.84,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,164968.78,48.97,0.998,0.0059,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.8,,10.0,328.66,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,184708.17,54.82,0.995,0.0099,241.58333333333334
drums,SV,sv_s10_t0_01_temp5.npz,0.9,,10.0,362.22,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,214804.27,63.76,0.984,0.0212,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.1,,15.0,239.97,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,90443.74,26.84,1.0,0.001,241.58333333333334
drums,SV,sv_s15_t0_01_temp5.npz,0.2,,15.0,246.94,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\drums\SV\threshold_0_01\sites_15\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\drums_2026-05-07-14-32-48,107050.8,31.77,1.0,0.0015,241.58333333333334
