dataset,type,model_file,threshold,lobes,sites,avg_fps,render_output_dir,base_model_dir,mean_culled_gaussians,culled_gaussians_percent,SSIM,FLIP,baseline_avg_fps
lego,SG,sg_l6_t0_01.npz,0.4,6.0,,272.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,127116.85,40.33,0.999,0.0026,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.5,6.0,,289.52,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,137838.65,43.74,0.999,0.0036,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.6,6.0,,291.68,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,148354.27,47.07,0.998,0.0053,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.7,6.0,,299.14,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,159564.68,50.63,0.996,0.0085,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.8,6.0,,307.44,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,172618.21,54.77,0.99,0.0147,234.9666666666667
lego,SG,sg_l6_t0_01.npz,0.9,6.0,,351.57,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SG\threshold_0_01\lobes_6\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,190943.85,60.59,0.975,0.0298,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.1,,10.0,243.22,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,59605.69,18.91,1.0,0.0005,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.2,,10.0,248.74,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,77050.55,24.45,1.0,0.0008,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.3,,10.0,255.84,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,89957.68,28.54,1.0,0.0011,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.4,,10.0,262.67,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,101372.04,32.17,1.0,0.0015,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.5,,10.0,269.0,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,112438.45,35.68,1.0,0.0022,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.6,,10.0,277.07,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,124061.91,39.37,0.999,0.0032,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.7,,10.0,287.78,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,137477.68,43.62,0.998,0.0053,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.8,,10.0,302.6,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,155048.92,49.2,0.996,0.0101,234.9666666666667
lego,SV,sv_s10_t0_01_temp5.npz,0.9,,10.0,334.19,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,183516.52,58.23,0.983,0.0266,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.1,,15.0,224.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,62281.17,19.76,1.0,0.0005,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.2,,15.0,232.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,80143.46,25.43,1.0,0.0008,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.3,,15.0,237.16,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,93149.93,29.56,1.0,0.0011,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.4,,15.0,243.76,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,104451.33,33.14,1.0,0.0015,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.5,,15.0,248.68,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,115285.49,36.58,1.0,0.0021,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.6,,15.0,255.9,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,126579.73,40.16,0.999,0.0031,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.7,,15.0,264.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,139503.98,44.27,0.999,0.005,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.8,,15.0,276.17,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,156223.7,49.57,0.996,0.0095,234.9666666666667
lego,SV,sv_s15_t0_01_temp5.npz,0.9,,15.0,302.32,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_15\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,183025.23,58.07,0.985,0.0244,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.1,,8.0,246.33,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,56506.71,17.93,1.0,0.0005,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.2,,8.0,253.51,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,73640.13,23.37,1.0,0.0008,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.3,,8.0,260.52,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,86591.03,27.48,1.0,0.0011,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.4,,8.0,266.33,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,98177.4,31.15,1.0,0.0015,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.5,,8.0,273.88,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,109590.58,34.77,1.0,0.0022,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.6,,8.0,281.03,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,121666.51,38.61,0.999,0.0033,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.7,,8.0,291.06,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,135698.32,43.06,0.998,0.0055,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.8,,8.0,306.13,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,154134.4,48.91,0.995,0.0108,234.9666666666667
lego,SV,sv_s8_t0_01_temp5.npz,0.9,,8.0,342.12,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\lego\SV\threshold_0_01\sites_8\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\fastergs_lego_2026-04-11-10-34-51,184248.39,58.46,0.982,0.0282,234.9666666666667
mic,BASELINE,no_culling,0.0,N/A,N/A,373.7633333333333,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29\baseline_benchmark,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,0.0,0.0,1.0,0.0,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.1,10.0,,415.28,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,55703.13,31.58,1.0,0.0007,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.2,10.0,,434.38,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,66446.77,37.68,1.0,0.001,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.3,10.0,,450.62,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,72751.49,41.25,1.0,0.0013,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.4,10.0,,460.74,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,77436.13,43.91,1.0,0.0015,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.5,10.0,,469.74,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,81473.54,46.2,1.0,0.0018,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.6,10.0,,488.79,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,85381.04,48.41,1.0,0.0021,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.7,10.0,,498.77,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,89542.12,50.77,1.0,0.0025,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.8,10.0,,513.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,94629.51,53.66,0.999,0.0033,373.7633333333333
mic,SG,sg_l10_t0_01.npz,0.9,10.0,,543.49,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,102480.49,58.11,0.997,0.0053,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.1,4.0,,443.51,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,47016.97,26.66,1.0,0.0007,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.2,4.0,,466.57,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,59232.14,33.59,1.0,0.001,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.3,4.0,,480.35,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,67206.1,38.11,1.0,0.0013,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.4,4.0,,494.69,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,73528.2,41.69,1.0,0.0015,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.5,4.0,,510.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,79053.57,44.82,1.0,0.0018,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.6,4.0,,525.27,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,84373.03,47.84,1.0,0.0022,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.7,4.0,,542.55,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,90100.86,51.09,0.999,0.0028,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.8,4.0,,564.2,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,97104.75,55.06,0.999,0.0042,373.7633333333333
mic,SG,sg_l4_t0_01.npz,0.9,4.0,,610.65,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_4\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,107626.66,61.03,0.995,0.0078,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.1,6.0,,443.06,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,51399.14,29.14,1.0,0.0007,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.2,6.0,,461.98,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,62758.22,35.58,1.0,0.001,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.3,6.0,,478.95,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,69863.76,39.61,1.0,0.0013,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.4,6.0,,493.63,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,75339.12,42.72,1.0,0.0015,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.5,6.0,,505.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,80098.71,45.42,1.0,0.0018,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.6,6.0,,514.37,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,84734.82,48.05,1.0,0.0021,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.7,6.0,,532.23,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,89722.35,50.87,1.0,0.0026,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.8,6.0,,553.07,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,95821.15,54.33,0.999,0.0037,373.7633333333333
mic,SG,sg_l6_t0_01.npz,0.9,6.0,,587.63,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SG\threshold_0_01\lobes_6\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,105198.85,59.65,0.996,0.0065,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.1,,10.0,415.39,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,42071.19,23.85,1.0,0.0005,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.2,,10.0,432.86,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,52582.18,29.81,1.0,0.0007,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.3,,10.0,445.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,59360.18,33.66,1.0,0.0009,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.4,,10.0,455.73,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,64878.07,36.79,1.0,0.0012,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.5,,10.0,468.75,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,69913.5,39.64,1.0,0.0014,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.6,,10.0,482.41,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,75010.35,42.53,1.0,0.0017,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.7,,10.0,493.26,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,80672.34,45.74,1.0,0.0022,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.8,,10.0,511.46,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,87850.65,49.81,0.999,0.0031,373.7633333333333
mic,SV,sv_s10_t0_01_temp5.npz,0.9,,10.0,550.46,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_10\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,99824.77,56.6,0.998,0.0056,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.1,,15.0,388.87,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,43770.81,24.82,1.0,0.0005,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.2,,15.0,407.11,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,54400.6,30.85,1.0,0.0007,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.3,,15.0,415.19,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,61141.5,34.67,1.0,0.001,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.4,,15.0,424.5,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,66529.57,37.72,1.0,0.0012,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.5,,15.0,434.99,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,71384.77,40.48,1.0,0.0014,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.6,,15.0,445.67,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_6,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,76226.73,43.22,1.0,0.0017,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.7,,15.0,459.3,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_7,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,81587.18,46.26,1.0,0.0021,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.8,,15.0,471.64,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_8,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,88311.7,50.07,1.0,0.0029,373.7633333333333
mic,SV,sv_s15_t0_01_temp5.npz,0.9,,15.0,503.69,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_15\inference\threshold_0_9,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,99467.73,56.4,0.998,0.0052,373.7633333333333
mic,SV,sv_s8_t0_01_temp5.npz,0.1,,8.0,422.6,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_1,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,40637.11,23.04,1.0,0.0005,373.7633333333333
mic,SV,sv_s8_t0_01_temp5.npz,0.2,,8.0,440.21,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_2,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,51105.99,28.98,1.0,0.0007,373.7633333333333
mic,SV,sv_s8_t0_01_temp5.npz,0.3,,8.0,453.19,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_3,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,57954.54,32.86,1.0,0.0009,373.7633333333333
mic,SV,sv_s8_t0_01_temp5.npz,0.4,,8.0,463.48,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_4,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,63562.89,36.04,1.0,0.0011,373.7633333333333
mic,SV,sv_s8_t0_01_temp5.npz,0.5,,8.0,474.62,C:\Bachelorproef\Github\nerficg\SG_test\npz_files\mic\SV\threshold_0_01\sites_8\inference\threshold_0_5,C:\Bachelorproef\Github\nerficg\output\FasterGS\mic_2026-05-11-12-52-29,68743.48,38.98,1.0,0.0014,373.7633333333333
